temperature_c,humidity_percent,co2_ppm,methane_ppm,smoke_density,air_quality_index,room_type,status,heat_index,gas_ratio,fire_risk_score,air_degradation,hour,day_of_week
23.81,60.5,544,0.0,3.6,113,bedroom,Safe,26.835,0.0,1.5726,120.2,10,5
49.09,53.4,2995,89.01,60.9,427,bedroom,Danger,51.760000000000005,0.0297096128170894,5.3814,548.8,10,5
27.91,58.0,1379,0.0,21.2,167,garage,Warning,30.81,0.0,2.5226,209.4,10,5
22.0,44.7,485,0.0,2.0,129,basement,Safe,24.235,0.0,1.4,133.0,10,5
20.65,53.3,396,0.0,9.0,60,garage,Safe,23.315,0.0,1.5989999999999998,78.0,10,5
27.51,67.8,1506,0.0,28.3,259,kitchen,Warning,30.9,0.0,2.7826,315.6,10,5
54.63,44.5,4712,52.49,81.5,357,basement,Danger,56.855,0.0111372798642053,6.5378,520.0,10,5
19.76,49.7,553,0.0,6.8,142,garage,Safe,22.245,0.0,1.4576,155.6,10,5
21.4,47.7,755,0.0,3.5,60,kitchen,Safe,23.785,0.0,1.424,67.0,10,5
42.17,45.7,3497,56.74,105.5,498,bedroom,Danger,44.455,0.0162206975414522,6.750200000000001,709.0,10,5
23.93,54.8,677,0.0,10.1,61,garage,Safe,26.67,0.0,1.8398,81.2,10,5
33.21,38.7,946,0.0,13.9,229,garage,Warning,35.145,0.0,2.5485999999999995,256.8,10,5
23.22,42.0,637,0.0,3.8,117,basement,Safe,25.32,0.0,1.5452,124.6,10,5
17.01,42.7,523,0.0,3.3,123,basement,Safe,19.145000000000003,0.0,1.1526,129.6,10,5
21.0,47.8,607,0.0,9.4,138,basement,Safe,23.39,0.0,1.636,156.8,10,5
22.62,50.8,438,0.0,10.5,69,bedroom,Safe,25.16,0.0,1.7772,90.0,10,5
20.84,50.2,799,0.0,4.8,57,living_room,Safe,23.35,0.0,1.4424,66.6,10,5
22.24,51.6,561,0.0,5.7,115,living_room,Safe,24.82,0.0,1.5623999999999998,126.4,10,5
24.71,57.8,442,0.0,7.8,69,basement,Safe,27.6,0.0,1.7946000000000002,84.6,10,5
22.29,41.2,446,0.0,2.9,73,garage,Safe,24.35,0.0,1.4533999999999998,78.8,10,5
20.414277323041023,54.05528951677783,499,0.0,-0.1,115,garage,Safe,23.11704179887992,0.0,1.2208566393824616,114.8,10,5
30.58,65.0,1524,0.0,23.8,263,living_room,Warning,33.83,0.0,2.7868000000000004,310.6,10,5
33.09,53.3,1188,0.0,29.4,308,bedroom,Warning,35.755,0.0,3.1614000000000004,366.8,10,5
42.69,33.4,4593,71.72,65.6,447,living_room,Danger,44.36,0.0156116673922507,5.1854,578.2,10,5
23.43,56.1,595,0.0,7.0,78,living_room,Safe,26.235,0.0,1.6858,92.0,10,5
48.8,62.3,2886,57.82,104.2,475,basement,Danger,51.915,0.0200277104260478,7.096000000000001,683.4,10,5
34.71,40.9,887,0.0,15.3,275,garage,Warning,36.755,0.0,2.6946000000000003,305.6,11,5
47.01,47.4,2032,43.41,94.2,436,bedroom,Danger,49.38,0.0213526807673389,6.5886,624.4,11,5
22.66,56.1,762,0.0,10.1,96,kitchen,Safe,25.465,0.0,1.7635999999999998,116.2,11,5
27.13,37.4,945,0.0,15.6,174,kitchen,Warning,29.0,0.0,2.2518,205.2,11,5
33.6,50.2,1245,0.0,25.1,233,basement,Warning,36.11,0.0,3.0200000000000005,283.2,11,5
26.48,63.6,1208,0.0,15.2,244,basement,Warning,29.66,0.0,2.1968,274.4,11,5
19.94,46.9,428,0.0,5.0,62,living_room,Safe,22.285,0.0,1.3964,72.0,11,5
24.43,41.6,718,0.0,2.2,122,bedroom,Safe,26.51,0.0,1.5538,126.4,11,5
17.79,41.0,542,0.0,6.9,104,living_room,Safe,19.84,0.0,1.3434,117.8,11,5
23.43,56.1,578,0.0,9.5,60,kitchen,Safe,26.235,0.0,1.7858,79.0,11,5
52.15,70.9,3557,94.62,64.0,424,kitchen,Danger,55.695,0.0265935919055649,5.689,552.0,11,5
21.65,44.3,509,0.0,6.5,151,bedroom,Safe,23.865,0.0,1.5589999999999995,164.0,11,5
51.58,45.7,2777,96.63,99.1,534,kitchen,Danger,53.865,0.0347840172786177,7.0588,732.2,11,5
30.35,46.6,1413,0.0,22.3,298,basement,Warning,32.68,0.0,2.713,342.6,11,5
42.97,63.5,3319,38.55,52.9,443,basement,Danger,46.145,0.0116114457831325,4.6942,548.8,11,5
61.43165103591208,53.24719089710791,2669,98.14,91.8,375,bedroom,Danger,64.09401058076747,0.0367565543071161,7.357899062154725,558.6,11,5
18.18532505786716,39.52628468403838,504,0.0,1.2,72,garage,Safe,20.16163929206908,0.0,1.1391195034720296,74.4,11,5
25.17,50.8,498,0.0,6.4,114,garage,Safe,27.71,0.0,1.7662,126.8,11,5
19.3,56.0,655,0.0,1.0,58,basement,Safe,22.1,0.0,1.198,60.0,11,5
20.95,55.4,689,0.0,3.6,62,bedroom,Safe,23.72,0.0,1.4009999999999998,69.2,11,5
25.26,49.0,746,0.0,4.9,140,living_room,Safe,27.71,0.0,1.7116,149.8,11,5
25.95,52.3,1415,0.0,28.6,282,kitchen,Warning,28.565,0.0,2.701,339.2,11,5
22.39,58.3,759,0.0,8.5,147,bedroom,Safe,25.305,0.0,1.6834,164.0,11,5
21.02,47.7,563,0.0,2.4,103,living_room,Safe,23.405,0.0,1.3572,107.8,11,5
25.2703796902072,72.82342187723589,1016,0.0,23.8,215,kitchen,Warning,28.911550784069,0.0,2.468222781412432,262.6,11,5
53.77,57.1,5054,47.28,62.9,504,garage,Danger,56.625,0.0093531157270029,5.7422,629.8,11,5
21.81,58.4,745,0.0,6.3,90,garage,Safe,24.73,0.0,1.5605999999999998,102.6,11,5
25.2,57.2,748,0.0,10.5,95,kitchen,Safe,28.06,0.0,1.932,116.0,11,5
39.02,77.4,3075,99.44,48.6,430,living_room,Danger,42.89,0.0323276983094928,4.285200000000001,527.2,11,5
25.52,59.6,766,0.0,7.9,76,living_room,Safe,28.5,0.0,1.8472,91.8,11,5
21.39,44.8,501,0.0,7.0,102,basement,Safe,23.63,0.0,1.5634,116.0,11,5
22.23,58.3,717,0.0,7.4,104,basement,Safe,25.145,0.0,1.6298,118.8,11,5
19.08,53.5,462,0.0,0.6,82,living_room,Safe,21.755,0.0,1.1687999999999998,83.2,11,5
25.2,50.6,529,0.0,8.4,145,kitchen,Safe,27.73,0.0,1.848,161.8,11,5
29.67,42.6,930,0.0,20.7,164,garage,Warning,31.8,0.0,2.6082,205.4,11,5
22.33,50.1,643,0.0,4.0,113,bedroom,Safe,24.835,0.0,1.4997999999999998,121.0,11,5
22.21,50.6,696,0.0,4.5,137,garage,Safe,24.74,0.0,1.5126000000000002,146.0,11,5
23.63,50.1,436,0.0,6.5,95,living_room,Safe,26.135,0.0,1.6778,108.0,11,5
23.95,50.6,549,0.0,6.9,103,kitchen,Safe,26.48,0.0,1.713,116.8,11,5
25.49,40.9,674,0.0,7.1,113,garage,Safe,27.535,0.0,1.8134,127.2,11,5
27.57,67.3,1128,0.0,24.6,307,bedroom,Warning,30.935,0.0,2.6382,356.2,11,5
21.81,59.2,667,0.0,9.3,120,basement,Safe,24.77,0.0,1.6805999999999996,138.6,11,5
23.41,47.4,696,0.0,5.9,64,living_room,Safe,25.78,0.0,1.6405999999999998,75.8,11,5
19.47,53.6,645,0.0,6.8,82,garage,Safe,22.15,0.0,1.4402,95.6,11,5
20.57,58.6,500,0.0,3.8,124,kitchen,Safe,23.5,0.0,1.3862,131.6,11,5
20.17,56.9,430,0.0,3.5,124,living_room,Safe,23.015,0.0,1.3502,131.0,11,5
46.32,34.2,3856,38.66,86.0,485,basement,Danger,48.03,0.0100233341975628,6.219199999999999,657.0,11,5
34.78,63.1,1007,0.0,22.4,292,garage,Warning,37.935,0.0,2.9828,336.8,11,5
23.24,54.0,635,0.0,6.3,127,kitchen,Safe,25.94,0.0,1.6464,139.6,11,5
22.33,44.8,733,0.0,2.7,119,basement,Safe,24.57,0.0,1.4477999999999998,124.4,11,5
20.86,41.0,771,0.0,-0.0,144,garage,Safe,22.91,0.0,1.2516,144.0,11,5
45.2,49.3,3614,62.53,82.9,409,garage,Danger,47.665000000000006,0.0172973720608575,6.0280000000000005,574.8,11,5
25.1,67.7,983,0.0,25.3,273,garage,Warning,28.485000000000003,0.0,2.518,323.6,11,5
21.88,42.6,447,0.0,8.1,104,living_room,Safe,24.01,0.0,1.6367999999999998,120.2,11,5
21.03,45.7,743,0.0,10.3,116,bedroom,Safe,23.315,0.0,1.6738,136.6,11,5
21.31,53.1,458,0.0,7.2,101,garage,Safe,23.965,0.0,1.5666,115.4,11,5
26.37,55.0,926,0.0,26.7,211,kitchen,Warning,29.12,0.0,2.6502,264.4,11,5
21.31,48.8,471,0.0,9.0,88,living_room,Safe,23.75,0.0,1.6385999999999998,106.0,11,5
18.5,53.3,764,0.0,1.9,117,garage,Safe,21.165,0.0,1.186,120.8,12,5
19.24,52.6,502,0.0,4.6,73,garage,Safe,21.87,0.0,1.3383999999999998,82.2,12,5
23.45,41.6,530,0.0,4.6,106,basement,Safe,25.53,0.0,1.5909999999999995,115.2,12,5
20.19,42.9,417,0.0,6.8,117,garage,Safe,22.335,0.0,1.4834,130.6,12,5
44.06,38.7,4193,83.19,93.8,362,basement,Danger,45.995000000000005,0.0198354792560801,6.3956,549.6,12,5
26.67,37.4,1369,0.0,29.8,182,living_room,Warning,28.540000000000003,0.0,2.7922,241.6,12,5
25.18,42.5,669,0.0,11.0,70,living_room,Safe,27.305,0.0,1.9508,92.0,12,5
20.19,49.3,670,0.0,1.7,99,bedroom,Safe,22.655,0.0,1.2794,102.4,12,5
50.29,82.4,1680,73.7,100.3,483,garage,Danger,54.41,0.0438429506246282,7.029400000000001,683.6,12,5
23.88,49.7,505,0.0,9.7,97,garage,Safe,26.365,0.0,1.8208,116.4,12,5
21.88,50.7,619,0.0,4.4,100,bedroom,Safe,24.415,0.0,1.4888,108.8,12,5
24.69,53.5,447,0.0,8.1,127,bedroom,Safe,27.365,0.0,1.8054,143.2,12,5
20.99,52.1,430,0.0,4.2,82,bedroom,Safe,23.595,0.0,1.4274,90.4,12,5
19.52,59.7,586,0.0,8.8,140,garage,Safe,22.505,0.0,1.5232,157.6,12,5
46.68,28.0,3802,26.26,58.1,521,garage,Danger,48.08,0.0069050749408361,5.1248000000000005,637.2,12,5
35.27,76.3,4759,61.31,78.8,372,living_room,Danger,39.085,0.0128802521008403,5.2682,529.6,12,5
42.0,33.7,3843,54.54,67.6,360,kitchen,Danger,43.685,0.0141883454734651,5.223999999999999,495.2,12,5
26.93,35.0,1112,0.0,20.2,288,garage,Warning,28.68,0.0,2.4238,328.4,12,5
24.2,42.1,785,0.0,5.0,94,kitchen,Safe,26.305,0.0,1.652,104.0,12,5
20.27,52.8,696,0.0,2.9,97,bedroom,Safe,22.91,0.0,1.3321999999999998,102.8,12,5
22.48,50.4,432,0.0,9.6,129,basement,Safe,25.0,0.0,1.7328,148.2,12,5
34.56,53.7,1276,0.0,14.7,212,garage,Warning,37.245000000000005,0.0,2.6616,241.4,12,5
18.21,59.6,518,0.0,1.0,69,kitchen,Safe,21.19,0.0,1.1326,71.0,12,5
22.41,59.5,505,0.0,5.4,65,basement,Safe,25.385,0.0,1.5606,75.8,12,5
23.6,57.5,794,0.0,1.8,93,garage,Safe,26.475,0.0,1.488,96.6,12,5
29.78,32.3,1252,0.0,17.0,213,living_room,Warning,31.395,0.0,2.4668,247.0,12,5
36.23,72.9,2449,77.06,54.4,377,garage,Danger,39.875,0.0314530612244898,4.3498,485.8,12,5
24.21,45.5,653,0.0,3.9,138,basement,Safe,26.485,0.0,1.6085999999999998,145.8,12,5
32.57,50.2,932,0.0,17.9,248,living_room,Warning,35.08,0.0,2.6702,283.8,12,5
20.14,51.2,455,0.0,8.3,130,bedroom,Safe,22.7,0.0,1.5404,146.6,12,5
16.46,48.4,614,0.0,9.7,130,garage,Safe,18.880000000000003,0.0,1.3756,149.4,12,5
21.45,56.9,558,0.0,5.9,110,kitchen,Safe,24.295,0.0,1.523,121.8,12,5
18.35,51.3,746,0.0,3.9,103,living_room,Safe,20.915000000000003,0.0,1.257,110.8,12,5
23.18,43.5,435,0.0,9.7,86,bedroom,Safe,25.355,0.0,1.7788,105.4,12,5
22.51,51.9,714,0.0,8.5,146,living_room,Safe,25.105,0.0,1.6906,163.0,12,5
19.02,52.4,772,0.0,0.3,106,bedroom,Safe,21.64,0.0,1.1531999999999998,106.6,12,5
20.9,51.2,450,0.0,1.9,79,garage,Safe,23.46,0.0,1.3299999999999998,82.8,12,5
22.2,43.2,651,0.0,2.0,93,kitchen,Safe,24.36,0.0,1.412,97.0,12,5
24.71959033928476,54.29611591649861,701,0.0,9.1,109,basement,Safe,27.43439613510969,0.0,1.8471754203570856,127.2,12,5
18.78,55.8,531,0.0,9.6,54,garage,Safe,21.57,0.0,1.5108,73.2,12,5
30.4,64.2,1552,0.0,28.2,197,bedroom,Warning,33.61,0.0,2.952,253.4,12,5
30.44,52.7,928,0.0,30.1,285,basement,Warning,33.075,0.0,3.0304,345.2,12,5
22.69,47.4,715,0.0,7.7,149,kitchen,Safe,25.06,0.0,1.6694000000000002,164.4,12,5
23.37,54.8,499,0.0,8.4,110,living_room,Safe,26.11,0.0,1.7382000000000002,126.8,12,5
19.37,46.2,582,0.0,9.6,91,kitchen,Safe,21.68,0.0,1.5462,110.2,12,5
19.94,58.8,488,0.0,1.2,121,living_room,Safe,22.880000000000003,0.0,1.2444000000000002,123.4,12,5
24.46,56.8,818,0.0,2.6,115,bedroom,Safe,27.3,0.0,1.5716,120.2,12,5
18.67,47.8,659,0.0,4.2,127,basement,Safe,21.06,0.0,1.2882,135.4,12,5
18.01,50.3,661,0.0,3.6,121,garage,Safe,20.525,0.0,1.2246,128.2,12,5
21.14,51.3,408,0.0,4.0,66,living_room,Safe,23.705,0.0,1.4284,74.0,12,5
22.75,59.6,673,0.0,4.9,135,garage,Safe,25.73,0.0,1.5610000000000002,144.8,12,5
23.24,54.9,549,0.0,7.3,79,living_room,Safe,25.985,0.0,1.6863999999999997,93.6,12,5
22.04,56.0,713,0.0,7.0,137,bedroom,Safe,24.84,0.0,1.6023999999999998,151.0,12,5
25.2,52.9,544,0.0,2.5,58,living_room,Safe,27.845,0.0,1.6119999999999997,63.0,12,5
32.83,60.1,1073,0.0,32.4,186,living_room,Warning,35.835,0.0,3.2658,250.8,12,5
22.27,44.6,519,0.0,6.7,127,bedroom,Safe,24.5,0.0,1.6042,140.4,12,5
33.02,36.2,868,0.0,26.9,272,kitchen,Warning,34.830000000000005,0.0,3.0572000000000004,325.8,12,5
18.37,58.2,423,0.0,6.8,122,bedroom,Safe,21.28,0.0,1.3742,135.6,12,5
23.64,52.1,725,0.0,3.2,121,kitchen,Safe,26.245,0.0,1.5463999999999998,127.4,12,5
19.2,48.7,764,0.0,7.8,80,living_room,Safe,21.635,0.0,1.464,95.6,12,5
26.85,68.5,1036,0.0,27.3,166,bedroom,Warning,30.275,0.0,2.7030000000000003,220.6,12,5
28.01,43.0,1347,0.0,16.1,246,living_room,Warning,30.16,0.0,2.3246,278.2,12,5
18.0,43.3,539,0.0,7.4,125,basement,Safe,20.165,0.0,1.376,139.8,12,5
18.91,47.5,742,0.0,4.8,78,kitchen,Safe,21.285,0.0,1.3266,87.6,12,5
22.62,59.9,714,0.0,3.6,96,garage,Safe,25.615,0.0,1.5012,103.2,12,5
33.48,48.3,1266,0.0,26.3,209,kitchen,Warning,35.895,0.0,3.0607999999999995,261.6,12,5
26.14621658942177,44.075315125589576,1198,0.0,30.6,210,kitchen,Warning,28.34998234570125,0.0,2.7927729953653064,271.2,12,5
18.58,56.1,766,0.0,1.7,50,kitchen,Safe,21.385,0.0,1.1828,53.4,12,5
35.44,62.5,3378,50.65,54.6,498,living_room,Danger,38.565,0.0149896419058893,4.3104,607.2,12,5
23.83,51.1,510,0.0,9.1,77,kitchen,Safe,26.385,0.0,1.7937999999999998,95.2,12,5
28.84,62.5,1183,0.0,32.4,166,basement,Warning,31.965,0.0,3.0264,230.8,12,5
22.76,59.3,673,0.0,6.0,114,living_room,Safe,25.725,0.0,1.6056,126.0,12,5
25.51,40.4,1371,0.0,19.5,259,living_room,Warning,27.53,0.0,2.3106,298.0,12,5
22.26,48.3,523,0.0,6.8,148,kitchen,Safe,24.675,0.0,1.6076,161.6,12,5
20.68,58.1,780,0.0,10.2,146,kitchen,Safe,23.585,0.0,1.6488,166.4,12,5
20.3,45.2,489,0.0,7.1,58,bedroom,Safe,22.56,0.0,1.502,72.2,12,5
23.34,60.2,729,0.0,9.3,148,garage,Safe,26.35,0.0,1.7724,166.6,13,5
31.93,48.6,1396,0.0,30.8,208,basement,Warning,34.36,0.0,3.1478,269.6,13,5
25.42,49.4,684,0.0,4.5,107,living_room,Safe,27.89,0.0,1.7052,116.0,13,5
31.72,35.2,1236,0.0,30.5,294,kitchen,Warning,33.48,0.0,3.1232,355.0,13,5
20.85,42.1,775,0.0,7.0,77,kitchen,Safe,22.955,0.0,1.531,91.0,13,5
24.41,46.5,675,0.0,5.4,62,basement,Safe,26.735,0.0,1.6805999999999996,72.8,13,5
56.87,39.0,3078,60.71,87.3,383,basement,Danger,58.82,0.0197174407275089,6.9042,557.6,13,5
21.21,46.1,715,0.0,4.4,130,bedroom,Safe,23.515,0.0,1.4486,138.8,13,5
22.38,53.9,522,0.0,4.4,146,living_room,Safe,25.075,0.0,1.5188,154.8,13,5
18.77,47.0,660,0.0,1.7,129,garage,Safe,21.12,0.0,1.1942,132.4,13,5
21.41,48.8,437,0.0,8.0,77,bedroom,Safe,23.85,0.0,1.6046,93.0,13,5
29.86,39.8,1213,0.0,17.2,197,bedroom,Warning,31.85,0.0,2.4796,231.4,13,5
21.06,42.7,520,0.0,5.8,94,bedroom,Safe,23.195,0.0,1.4956,105.6,13,5
19.1,50.1,758,0.0,6.1,129,basement,Safe,21.605,0.0,1.39,141.2,13,5
35.12,66.2,1029,0.0,31.1,224,garage,Warning,38.43,0.0,3.3512,286.2,13,5
30.21,62.4,1275,0.0,29.3,203,basement,Warning,33.33,0.0,2.9846000000000004,261.6,13,5
19.39,55.2,439,0.0,6.1,132,basement,Safe,22.15,0.0,1.4074,144.2,13,5
19.46,59.4,683,0.0,7.3,96,living_room,Safe,22.43,0.0,1.4596,110.6,13,5
19.63242309660948,51.29286362759456,694,0.0,5.5,141,basement,Safe,22.197066277989208,0.0,1.397945385796569,152.0,13,5
23.93,41.7,720,0.0,6.6,100,bedroom,Safe,26.015,0.0,1.6997999999999998,113.2,13,5
19.79,45.8,708,0.0,8.8,122,living_room,Safe,22.08,0.0,1.5394,139.6,13,5
23.12,53.2,714,0.0,1.5,61,kitchen,Safe,25.78,0.0,1.4472,64.0,13,5
45.605898071190495,57.92829163434045,3873,88.71,73.8,392,bedroom,Danger,48.50231265290752,0.0228988125967991,5.68835388427143,539.6,13,5
25.6,67.9,940,0.0,26.0,250,living_room,Warning,28.995,0.0,2.576,302.0,13,5
48.25,71.9,4889,62.26,103.6,527,garage,Danger,51.845,0.0127321063394683,7.039,734.2,13,5
23.48,51.1,521,0.0,9.9,136,living_room,Safe,26.035,0.0,1.8048,155.8,13,5
20.61,48.4,460,0.0,8.1,86,living_room,Safe,23.03,0.0,1.5606,102.2,13,5
21.84,48.0,449,0.0,8.5,144,bedroom,Safe,24.24,0.0,1.6504,161.0,13,5
20.36,57.5,750,0.0,1.7,76,kitchen,Safe,23.235,0.0,1.2896,79.4,13,5
24.78,56.7,715,0.0,9.0,116,garage,Safe,27.615,0.0,1.8468,134.0,13,5
20.65,42.7,718,0.0,2.2,65,basement,Safe,22.785,0.0,1.327,69.4,13,5
19.09,48.7,763,0.0,10.0,86,kitchen,Safe,21.525,0.0,1.5454,106.0,13,5
32.18,58.1,1040,0.0,13.6,264,kitchen,Warning,35.085,0.0,2.4748,291.2,13,5
17.69,48.3,553,0.0,0.6,115,kitchen,Safe,20.105,0.0,1.0854,116.2,13,5
25.34,56.3,499,0.0,9.0,140,living_room,Safe,28.155,0.0,1.8804,158.0,13,5
19.31,57.7,762,0.0,5.9,126,kitchen,Safe,22.195,0.0,1.3945999999999998,137.8,13,5
33.4,62.4,1065,0.0,24.9,292,kitchen,Warning,36.52,0.0,3.0,341.8,13,5
20.54,55.6,540,0.0,6.4,70,basement,Safe,23.32,0.0,1.4884,82.8,13,5
20.39,58.2,578,0.0,6.2,59,living_room,Safe,23.3,0.0,1.4714,71.4,13,5
30.21,34.6,1505,0.0,14.5,262,bedroom,Warning,31.94,0.0,2.3926000000000003,291.0,13,5
23.4,42.7,549,0.0,8.4,75,bedroom,Safe,25.535,0.0,1.7399999999999998,91.8,13,5
24.53,49.3,784,0.0,3.3,68,bedroom,Safe,26.995,0.0,1.6038,74.6,13,5
34.36,54.6,1022,0.0,30.0,300,living_room,Warning,37.09,0.0,3.2616,360.0,13,5
18.57,57.0,442,0.0,0.7,81,kitchen,Safe,21.42,0.0,1.1422,82.4,13,5
23.51,53.0,544,0.0,9.5,111,bedroom,Safe,26.160000000000004,0.0,1.7906,130.0,13,5
20.37,40.6,677,0.0,2.9,142,basement,Safe,22.4,0.0,1.3382,147.8,13,5
20.83,42.1,672,0.0,0.2,98,garage,Safe,22.935,0.0,1.2578,98.4,13,5
20.96,54.6,512,0.0,8.4,151,living_room,Safe,23.69,0.0,1.5936,167.8,13,5
31.58136982501581,62.10503530386155,1524,0.0,28.3,285,bedroom,Warning,34.68662159020889,0.0,3.0268821895009483,341.6,13,5
55.66,67.8,4876,94.22,101.9,379,living_room,Danger,59.05,0.0193192536395324,7.4156,582.8,13,5
23.25,40.7,744,0.0,3.9,69,kitchen,Safe,25.285,0.0,1.551,76.8,13,5
22.42,48.3,494,0.0,1.5,113,kitchen,Safe,24.835,0.0,1.4052,116.0,13,5
32.63,31.8,1480,0.0,16.5,185,bedroom,Warning,34.220000000000006,0.0,2.6178,218.0,13,5
34.52,53.3,936,0.0,32.3,195,garage,Warning,37.185,0.0,3.3632,259.6,13,5
17.75,49.5,446,0.0,6.3,107,bedroom,Safe,20.225,0.0,1.317,119.6,13,5
22.98,53.7,561,0.0,4.8,122,kitchen,Safe,25.665,0.0,1.5708,131.6,13,5
20.75,49.1,543,0.0,5.7,111,bedroom,Safe,23.205,0.0,1.473,122.4,13,5
21.91,52.3,427,0.0,6.7,87,bedroom,Safe,24.525,0.0,1.5825999999999998,100.4,13,5
22.37,60.2,738,0.0,6.1,101,garage,Safe,25.380000000000003,0.0,1.5862,113.2,13,5
33.95,70.2,1023,0.0,30.2,231,garage,Warning,37.46,0.0,3.245,291.4,13,5
57.74,78.3,1982,44.55,41.3,453,living_room,Danger,61.655,0.022465960665658,5.1164000000000005,535.6,13,5
23.62,49.2,721,0.0,1.3,140,bedroom,Safe,26.08,0.0,1.4692,142.6,13,5
24.39,48.3,524,0.0,7.5,136,living_room,Safe,26.805,0.0,1.7634,151.0,13,5
30.27,57.9,925,0.0,26.8,299,bedroom,Warning,33.165,0.0,2.8882,352.6,13,5
29.49,52.2,1364,0.0,24.2,205,kitchen,Warning,32.1,0.0,2.7374,253.4,14,5
25.43,48.4,423,0.0,2.3,109,basement,Safe,27.85,0.0,1.6177999999999997,113.6,14,5
